SR #,Source,Referrer,Prospect,Relationship,Associate,Referral Date,Added to Advisor Portal,Connected to Referred Contact,Contact Prospect,Discovery Package Sent,Discovery Package Received,First Meeting Date,Final Status,New Client Date,Thank You to New Client,Thank You to Existing Client,Appreciation Event for Existing Client,Appreciation Event for New Client,Sales Credits,3 Month Service Call,# of Referrals Received,Action
107,COI,CenterOfInfluence039,Prospect125,,N/A,2018-02-27,2018-02-27,2018-02-27,N/A,N/A,N/A,N/A,5,N/A,,,N/A,,,,,PLMF closed
111,C,Client056,Prospect095,,Associate028,2018-02-20,2018-02-20,2018-02-20,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
113,C,Client056,Prospect128,,Associate028,2017-11-28,2017-11-28,2017-11-28,2018-04-20,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
114,C,Client065,Prospect129,,Associate028,2017-07-31,2017-07-31,2017-07-31,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
115,C,Client066,Prospect130,F,Associate028,2018-04-20,2018-04-20,2018-04-20,2018-04-20,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
116,COI,CenterOfInfluence022,Prospect131,,Associate028,2018-03-28,,,,,,,5,,,,,,,,,PLMF closed
117,C,Client067,Person005,,Associate029,2018-02-28,2018-02-28,2018-02-28,2018-03-20,2018-03-21,2018-04-23,2018-04-25,5,,,,,,,,,PLMF closed
118,E,Event021,Prospect132,,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
119,E,Event022,Prospect133,,Associate028,2018-07-11,2018-07-11,2018-07-11,2018-07-11,2018-07-11,,2018-07-17,5,,,,,,,,,PLMF closed
121,COI,Client068,Prospect134,,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
124,C,Client069,Prospect135,F,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,2018-06-11,N/A,N/A,5,,,,,,,,,PLMF closed
125,C,Client070,Client069,R,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
